Концептуальное положение;"
<br>Задача
<br>Цель
<br>Ресурс
<br>Принцип
<br>Основа
<br>Направление
"
Технологии аутентификации;"
<br>Аутентификация по многоразовым паролям
<br>Протокол аутентификации Kerberos
<br>Протоколы аутентификации для удалённого доступа
<br>Протокол аутентификации RADIUS
<br>Аутентификация на основе одноразовых паролей
<br>Аутентификация по предъявлению цифрового сертификата
<br>Использование смарт-карт и USB-ключей
<br>Генерация ключевой пары вне устройства
<br>Генерация ключевой пары с помощью устройства
"
Каналы утечки речевой информации;"
<br>Акустический
<br>Виброакустический
<br>Акустоэлектрический
<br>Оптико-электронный
<br>Параметрический
"
Каналы утечки видовой информации;"
<br>Наблюдение за объектами
<br>Съемка объектов
<br>Съемка документов
"
Каналы утечки информации при передаче ее по каналам связи;"
<br>Электромагнитный
<br>Электрический
<br>Индукционный
"
Особенности информации как предмета защиты;"
<br>Доступна человеку, если содержится на материальном носителе
<br>Ценность оценивается степенью полезности ее для пользователя
<br>Возможно рассмат­ривать как товар.
<br>Ценность изменяется во времени
<br>Невозможно объективно (без учета полезности ее для потребителя, владельца, собственника) оценить количество информации
<br>При копировании, не изменяющем информационные параметры носителя, количество информации не меняется, а цена снижается.
"
Технологическая безопасность ПО;"
<br>Обеспечение устойчивости высоких технологий при осложнениях, возникающих в связи с неблагоприятными тенденциями или конкретными событиями в государстве.
"
Принципы обеспечения безопасности ПО;"
<br>Защита расстоянием
<br>Защита временем
<br>Экранирование
<br>Блокировка
<br>Использование слабых и прочных звеньев
<br>Герметизации
<br>Вакуумирования
<br>Флегматизация
"
Эффективность защиты информации;"
<br>Степень соответствия результатов защиты информации цели защиты информации
"
ДВБ;"
<br>Доверенная вычислительная база
"
Доверенная вычислительная база;"
<br>Окружение, в котором функционирует ОС
"
Защищенная ОС;"
<br>ОС, которая предусматривает средства защиты от основных классов угроз
"
МЭ;"
<br>Межсетевой экран
"
Межсетевой экран;"
<br>Программный или программно-аппаратный элемент компьютерной сети, осуществляющий контроль и фильтрацию проходящего через него сетевого трафика в соответствии с заданными правилами.
"
Основная задача межсетевого экрана;"
<br>Защита сегментов сети или отдельных хостов от несанкционированного доступа с использованием уязвимых мест в протоколах сетевой модели OSI или в программном обеспечении, установленном на компьютерах сети. Межсетевые экраны пропускают или запрещают трафик, сравнивая его характеристики с заданными шаблонами 
"
Методы защиты программ от несанкционированного копирования;"
<br>Маркировка
<br>Пароль
<br>Доступ по цифровому ключу (флешке)
<br>Система управления правами доступа
<br>Комбинированные методы защиты документов
"
Инженерно-техническая защита информации;"
<br>Совокупность технических средств и мероприятий, нацеленных на предотвращение утечек, разглашения информации, и несанкционированного доступа в сетевые ресурсы организации
"
Принципы обеспечения безопасности программного обеспечения;"
<br>Регламентация технологических этапов разработки ПО
<br>Автоматизация средств контроля управляющих и вычислительных программ
<br>Последовательная многоуровневая фильтрация программных модулей
<br>Типизация алгоритмов, программ и средств информационной безопасности
<br>Централизованное управления базами данных проектов ПО
<br>Блокирование несанкционированного доступа
<br>Статистический учет и ведение системных журналов
<br>Использование только сертифицированных и выбранных в качестве единых инструментальных средств разработки программ
<br>Тестирование ПО
<br>Проведение натурных испытаний программ
<br>Осуществление «фильтрации»
<br>Разработка и экспериментальной отработка средств верификации
<br>Проведение стендовых испытаний ПО
<br>Отработка средств защиты от несанкционированного воздействия
<br>Сертификация программных изделий АСУ по требованиям безопасности
"
Функционально-опасные источники сигналов;"
<br>источники систем связи;
<br>передатчики радиотехнических систем;
<br>излучатели акустических сигналов;
<br>люди.
"
Технические средства, которые могут быть источниками случайных опасных сигналов;"
<br>средства телефонной проводной связи
<br>средства мобильной связи и радиосвязи
<br>средства электронной почты
<br>СВТ
<br>аудиоаппаратура и средства звукоусиления
<br>радиоприемные устройства
<br>видеоаппаратура
<br>телевизионные средства
<br>средства линейной радиотрансляции и оповещения
"
Электрические приборы, которые могут быть источниками случайных опасных сигналов;"
<br>средства системы электрочасофикации;
<br>средства охранной сигнализации;
<br>средства пожарной сигнализации;
<br>оргтехника (в частности, принтеры);
<br>средства системы кондиционирования и вентиляции;
<br>бытовые приборы и другая техника, имеющая в составе элементы преобразования акустической информации в электрические сигналы;
<br>электропроводящие коммуникации здания, проходящие через контролируемую зону
"
Случайно-опасные источники сигналов;"
<br>Технические средства, которые могут быть источниками случайных опасных сигналов
<br>Электрические приборы, которые могут быть источниками случайных опасных сигналов
